frame_nmr,track_id,plate_bbox,det_conf,license_number,license_number_score,ocr_conf,vehicle_type,layout,raw_ocr
141,2,"309,409,442,511",0.928417,,0.0,0.0,,0,
141,1,"2,348,68,454",0.698328,,0.0,0.0,,0,
142,2,"299,409,433,509",0.9308,12A-9254,5.249529,0.219812,car,1,1249254
142,1,"1,345,54,453",0.718503,,0.0,0.0,,0,
143,2,"288,407,422,508",0.926123,,0.0,0.0,,0,
144,2,"276,406,412,506",0.9286,,0.0,0.0,,0,
145,2,"262,406,398,504",0.921574,,0.0,0.0,,0,
146,2,"250,405,388,505",0.921993,,0.0,0.0,,0,
147,2,"238,404,375,505",0.923568,,0.0,0.0,,0,
148,2,"227,405,363,505",0.925732,52S-033.25,7.290598,0.156239,car,2,525|D3325
149,2,"214,404,353,506",0.921174,,0.0,0.0,,0,
150,2,"203,403,344,508",0.925861,71C-132.33,6.007489,0.242996,car,2,8171C|13233
151,2,"194,402,332,507",0.926326,,0.0,0.0,,0,
152,2,"183,406,319,506",0.927839,99-B1 349.25,9.127316,0.770926,motorbike,2,99-81|349.25
153,2,"173,405,311,508",0.922597,,0.0,0.0,,0,
154,2,"164,405,302,509",0.926484,89-B1 3498,7.296575,0.63863,motorbike,2,89-81|3498
155,2,"159,406,294,506",0.925729,,0.0,0.0,,0,
156,2,"151,403,286,507",0.927475,89-B1 349.25,9.668728,0.987491,motorbike,2,89-81|349.25
157,2,"143,402,279,506",0.924426,,0.0,0.0,,0,
158,2,"138,402,273,504",0.92628,89-B1 349.25,9.674368,0.989747,motorbike,2,89-81|349.25
159,2,"130,401,268,506",0.930771,,0.0,0.0,,0,
160,2,"124,400,264,507",0.925094,89-B1 349.25,9.569823,0.947929,motorbike,2,89-81|34925
161,2,"117,401,259,505",0.927483,,0.0,0.0,,0,
162,2,"111,401,253,504",0.931656,89-B1 349.25,9.661413,0.984565,motorbike,2,89-81|349.25
163,2,"106,401,247,504",0.930107,,0.0,0.0,,0,
164,2,"102,400,243,504",0.928126,89-B1 349.25,9.671482,0.988593,motorbike,2,89-81|349.25
165,2,"97,401,239,505",0.926709,,0.0,0.0,,0,
166,2,"93,402,235,506",0.926686,89-B1 349.25,9.666772,0.986709,motorbike,2,89-81|34925
167,2,"90,402,232,506",0.928011,,0.0,0.0,,0,
168,2,"87,401,229,507",0.931095,,0.0,0.0,,0,
169,2,"84,402,227,508",0.930961,,0.0,0.0,,0,
